"director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","movie_facebook_likes","genres"
"James Cameron",315,194,0,794,"Kate Winslet",29000,658672302,"Leonardo DiCaprio","Titanic ",793059,45223,"Gloria Stuart",2528,"PG-13",2e+08,1997,14000,7.7,26000,"Romance_Drama"
"Anthony Russo",516,147,94,11000,"Scarlett Johansson",21000,407197282,"Robert Downey Jr.","Captain America: Civil War ",272670,64798,"Chris Evans",1022,"PG-13",2.5e+08,2016,19000,8.2,72000,"Action"
"Peter Berg",377,131,532,627,"Alexander Skarsgård",14000,65173160,"Liam Neeson","Battleship ",202382,26679,"Tadanobu Asano",751,"PG-13",2.09e+08,2012,10000,5.9,44000,"Thriller_Action"
"Colin Trevorrow",644,124,365,1000,"Judy Greer",3000,652177271,"Bryce Dallas Howard","Jurassic World ",418214,8458,"Omar Sy",1290,"PG-13",1.5e+08,2015,2000,7,150000,"Thriller_Action"
"Shane Black",608,195,1000,3000,"Jon Favreau",21000,408992272,"Robert Downey Jr.","Iron Man 3 ",557489,30426,"Don Cheadle",1187,"PG-13",2e+08,2013,4000,7.2,95000,"Action"
"Tim Burton",451,108,13000,11000,"Alan Rickman",40000,334185206,"Johnny Depp","Alice in Wonderland ",306320,79957,"Anne Hathaway",736,"PG",2e+08,2010,25000,6.5,24000,"Action"
"Dan Scanlon",376,104,37,760,"Tyler Labine",12000,268488329,"Steve Buscemi","Monsters University ",235025,14863,"Sean Hayes",265,"G",2e+08,2013,779,7.3,44000,"Comedy_Action"
"Michael Bay",366,150,0,464,"Kevin Dunn",894,402076689,"Glenn Morshower","Transformers: Revenge of the Fallen ",323207,3218,"Ramon Rodriguez",1439,"PG-13",2e+08,2009,581,6,0,"Action"
"Michael Bay",378,165,0,808,"Sophia Myles",974,245428137,"Bingbing Li","Transformers: Age of Extinction ",242420,3988,"Kelsey Grammer",918,"PG-13",2.1e+08,2014,956,5.7,56000,"Action"
"Sam Raimi",525,130,0,11000,"Mila Kunis",44000,234903076,"Tim Holmes","Oz the Great and Powerful ",175409,73441,"James Franco",511,"PG",2.15e+08,2013,15000,6.4,60000,"Action"
"Marc Webb",495,142,464,825,"Andrew Garfield",15000,202853933,"Emma Stone","The Amazing Spider-Man 2 ",321227,28631,"B.J. Novak",1067,"PG-13",2e+08,2014,10000,6.7,41000,"Action"
"Joseph Kosinski",469,125,364,1000,"Olivia Wilde",12000,172051787,"Jeff Bridges","TRON: Legacy ",264183,25550,"James Frain",665,"PG",1.7e+08,2010,10000,6.8,30000,"Action"
"John Lasseter",304,106,487,776,"Thomas Kretschmann",1000,191450875,"Joe Mantegna","Cars 2 ",101178,4482,"Eddie Izzard",283,"G",2e+08,2011,919,6.3,10000,"Comedy_Action"
"Martin Campbell",436,123,258,326,"Temuera Morrison",16000,116593191,"Ryan Reynolds","Green Lantern ",223393,17657,"Taika Waititi",550,"PG-13",2e+08,2011,368,5.6,24000,"Action"
"Lee Unkrich",453,103,125,721,"John Ratzenberger",15000,414984497,"Tom Hanks","Toy Story 3 ",544884,19085,"Don Rickles",733,"G",2e+08,2010,1000,8.3,30000,"Comedy_Action"
"McG",422,118,368,988,"Bryce Dallas Howard",23000,125320003,"Christian Bale","Terminator Salvation ",286095,27468,"Common",974,"PG-13",2e+08,2009,3000,6.6,0,"Action"
"James Wan",424,140,0,14000,"Paul Walker",26000,350034110,"Jason Statham","Furious 7 ",278232,79150,"Vin Diesel",657,"PG-13",1.9e+08,2015,23000,7.2,94000,"Thriller_Crime_Action"
"Marc Forster",654,123,395,1000,"Brad Pitt",17000,202351611,"Peter Capaldi","World War Z ",465019,32392,"Mireille Enos",995,"PG-13",1.9e+08,2013,11000,7,129000,"Thriller_Action"
"Bryan Singer",539,149,0,20000,"Peter Dinklage",34000,233914986,"Jennifer Lawrence","X-Men: Days of Future Past ",514125,91434,"Hugh Jackman",752,"PG-13",2e+08,2014,22000,8,82000,"Thriller_Action"
"J.J. Abrams",590,132,14000,928,"Bruce Greenwood",19000,228756232,"Benedict Cumberbatch","Star Trek Into Darkness ",395573,21411,"Noel Clarke",1171,"PG-13",1.9e+08,2013,981,7.8,92000,"Action"
"Bryan Singer",338,114,0,140,"Ewen Bremner",979,65171860,"Eddie Marsan","Jack the Giant Slayer ",106416,1766,"Ralph Brown",205,"PG-13",1.95e+08,2013,557,6.3,22000,"Action"
"Guillermo del Toro",575,131,0,919,"Clifton Collins Jr.",16000,101785482,"Charlie Hunnam","Pacific Rim ",381148,19166,"Larry Joe Campbell",1106,"PG-13",1.9e+08,2013,968,7,83000,"Action"
"Michael Bay",428,154,0,581,"Lester Speight",894,352358779,"Glenn Morshower","Transformers: Dark of the Moon ",326180,2593,"Kevin Dunn",899,"PG-13",1.95e+08,2011,829,6.3,46000,"Action"
"Steven Spielberg",470,122,14000,1000,"Ray Winstone",11000,317011114,"Harrison Ford","Indiana Jones and the Kingdom of the Crystal Skull ",333847,14959,"Jim Broadbent",2054,"PG-13",1.85e+08,2008,1000,6.2,5000,"Action"
"Mark Andrews",488,93,56,838,"John Ratzenberger",2000,237282182,"Kelly Macdonald","Brave ",273556,5005,"Julie Walters",428,"PG",1.85e+08,2012,1000,7.2,39000,"Comedy_Action"
"Justin Lin",322,122,681,105,"Melissa Roxburgh",998,130468626,"Sofia Boutella","Star Trek Beyond ",53607,1327,"Lydia Wilson",432,"PG-13",1.85e+08,2016,119,7.5,30000,"Thriller_Action"
"Andrew Stanton",421,98,475,522,"Fred Willard",1000,223806889,"John Ratzenberger","WALL·E ",718837,2975,"Jeff Garlin",1043,"G",1.8e+08,2008,729,8.4,16000,"Action"
"Brett Ratner",162,91,420,173,"Dana Ivey",268,140080850,"Tzi Ma","Rush Hour 3 ",121084,1125,"Noémie Lenoir",221,"PG-13",1.4e+08,2007,268,6.2,0,"Comedy_Thriller_Crime_Action"
"Roland Emmerich",367,158,776,310,"Liam James",1000,166112167,"Oliver Platt","2012 ",283418,2144,"Tom McCarthy",1055,"PG-13",2e+08,2009,468,5.8,13000,"Action"
"Robert Zemeckis",240,96,0,10000,"Colin Firth",18000,137850096,"Robin Wright","A Christmas Carol ",72809,48878,"Gary Oldman",249,"PG",2e+08,2009,14000,6.8,0,"Drama_Action"
"Lana Wachowski",384,127,0,13000,"Mila Kunis",17000,47375327,"Channing Tatum","Jupiter Ascending ",139593,47334,"Eddie Redmayne",720,"PG-13",1.76e+08,2015,15000,5.4,44000,"Action"
"David Yates",248,110,282,103,"Alexander Skarsgård",11000,124051759,"Christoph Waltz","The Legend of Tarzan ",42372,21175,"Casper Crump",239,"PG-13",1.8e+08,2016,10000,6.6,29000,"Romance_Drama_Action"
"Andrew Adamson",284,150,80,82,"Kiran Shah",1000,291709845,"Jim Broadbent","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,"Shane Rangi",1463,"PG",1.8e+08,2005,190,6.9,0,"Action"
"Bryan Singer",396,144,0,1000,"Michael Fassbender",34000,154985087,"Jennifer Lawrence","X-Men: Apocalypse ",148379,49684,"Tye Sheridan",622,"PG-13",1.78e+08,2016,13000,7.3,54000,"Action"
"Christopher Nolan",645,152,22000,11000,"Heath Ledger",23000,533316061,"Christian Bale","The Dark Knight ",1676169,57802,"Morgan Freeman",4667,"PG-13",1.85e+08,2008,13000,9,37000,"Drama_Thriller_Crime_Action"
"Pete Docter",408,96,0,262,"Delroy Lindo",1000,292979556,"John Ratzenberger","Up ",665575,2635,"Jess Harnell",704,"PG",1.75e+08,2009,848,8.3,27000,"Comedy_Action"
"Rob Letterman",219,94,11,459,"Rainn Wilson",1000,198332128,"Amy Poehler","Monsters vs. Aliens ",114553,2579,"Stephen Colbert",187,"PG",1.75e+08,2009,973,6.5,0,"Comedy_Action"
"Jon Favreau",486,126,4000,4000,"Jeff Bridges",21000,318298180,"Robert Downey Jr.","Iron Man ",696338,39252,"Jon Favreau",1055,"PG-13",1.4e+08,2008,12000,7.9,10000,"Action"
"Martin Scorsese",682,126,17000,1000,"Christopher Lee",17000,73820094,"Chloë Grace Moretz","Hugo ",245333,36017,"Ray Winstone",678,"PG",1.7e+08,2011,16000,7.5,42000,"Drama_Crime_Action"
"Barry Sonnenfeld",85,106,188,582,"Salma Hayek",10000,113745408,"Will Smith","Wild Wild West ",129601,15870,"Bai Ling",648,"PG-13",1.7e+08,1999,4000,4.8,0,"Comedy_Action"
"Rob Cohen",264,112,357,595,"Brendan Fraser",5000,102176165,"Jet Li","The Mummy: Tomb of the Dragon Emperor ",117927,9131,"Russell Wong",501,"PG-13",1.45e+08,2008,3000,5.2,0,"Thriller_Action"
"David Ayer",418,123,452,329,"Robin Atkin Downes",10000,161087183,"Will Smith","Suicide Squad ",118992,11287,"Ike Barinholtz",971,"PG-13",1.75e+08,2016,336,6.9,80000,"Comedy_Action"
"Tom Shadyac",186,96,293,7000,"Morgan Freeman",87000,100289690,"Jimmy Bennett","Evan Almighty ",115099,108016,"Steve Carell",257,"PG",1.75e+08,2007,11000,5.4,2000,"Comedy_Action"
"Doug Liman",585,113,218,509,"Lara Pulver",10000,100189501,"Tom Cruise","Edge of Tomorrow ",431620,12652,"Noah Taylor",741,"PG-13",1.78e+08,2014,854,7.9,77000,"Action"
"Kevin Reynolds",91,176,58,60,"Rick Aviles",711,88246220,"Jeanne Tripplehorn","Waterworld ",144337,1004,"Zakes Mokae",309,"PG-13",1.75e+08,1995,60,6.1,0,"Thriller_Action"
"Stephen Sommers",250,118,208,570,"Dennis Quaid",23000,150167630,"Joseph Gordon-Levitt","G.I. Joe: The Rise of Cobra ",174578,26683,"Leo Howard",534,"PG-13",1.75e+08,2009,2000,5.8,0,"Thriller_Action"
"Pete Docter",536,95,0,384,"Mindy Kaling",1000,356454367,"Amy Poehler","Inside Out ",345198,2944,"Phyllis Smith",773,"PG",1.75e+08,2015,767,8.3,118000,"Comedy_Drama_Action"
"Jon Favreau",453,124,4000,4000,"Scarlett Johansson",21000,312057433,"Robert Downey Jr.","Iron Man 2 ",522371,48638,"Jon Favreau",723,"PG-13",2e+08,2010,19000,7,18000,"Action"
"Rupert Sanders",416,132,274,11000,"Kristen Stewart",26000,155111815,"Chris Hemsworth","Snow White and the Huntsman ",228554,72881,"Sam Claflin",710,"PG-13",1.7e+08,2012,17000,6.1,53000,"Drama_Action"
"Matt Reeves",521,130,198,884,"Judy Greer",10000,208543795,"Gary Oldman","Dawn of the Planet of the Apes ",317542,14363,"Kodi Smit-McPhee",620,"PG-13",1.7e+08,2014,2000,7.6,45000,"Drama_Action"
"Carl Rinsch",218,128,47,982,"Cary-Hiroyuki Tagawa",18000,38297305,"Keanu Reeves","47 Ronin ",116994,20965,"Jin Akanishi",324,"PG-13",1.75e+08,2013,1000,6.3,35000,"Drama_Action"
"Anthony Russo",576,136,94,2000,"Chris Evans",19000,259746958,"Scarlett Johansson","Captain America: The Winter Soldier ",496749,36188,"Hayley Atwell",742,"PG-13",1.7e+08,2014,11000,7.8,55000,"Action"
"Mike Mitchell",226,93,31,213,"Kathy Griffin",4000,238371987,"Jon Hamm","Shrek Forever After ",138661,4628,"Mary Kay Place",173,"PG",1.65e+08,2010,225,6.4,0,"Comedy_Action"
"Don Hall",384,102,38,562,"Daniel Henney",756,222487711,"Damon Wayans Jr.","Big Hero 6 ",279093,2963,"Abraham Benrubi",433,"PG",1.65e+08,2014,719,7.9,41000,"Comedy_Drama_Action"
"Rich Moore",377,101,66,833,"Sarah Silverman",975,189412677,"Jack McBrayer","Wreck-It Ralph ",272534,4451,"Joe Lo Truglio",345,"PG",1.65e+08,2012,931,7.8,40000,"Comedy_Action"
"Robert Zemeckis",188,100,0,267,"Eddie Deezen",15000,665426,"Tom Hanks","The Polar Express ",120798,16264,"Peter Scolari",444,"G",1.65e+08,2004,726,6.6,10000,"Action"
"Roland Emmerich",286,120,776,535,"Sela Ward",890,102315545,"Vivica A. Fox","Independence Day: Resurgence ",58137,3233,"Judd Hirsch",520,"PG-13",1.65e+08,2016,812,5.5,67000,"Action"
"Dean DeBlois",288,98,255,759,"America Ferrera",18000,217387997,"Gerard Butler","How to Train Your Dragon ",485430,20453,"Craig Ferguson",492,"PG",1.65e+08,2010,953,8.2,33000,"Action"
"Jonathan Mostow",280,109,84,191,"M.C. Gainey",648,150350192,"Nick Stahl","Terminator 3: Rise of the Machines ",305340,1769,"Carolyn Hennesy",1676,"R",2e+08,2003,284,6.4,0,"Action"
"James Gunn",653,121,571,3000,"Vin Diesel",14000,333130696,"Bradley Cooper","Guardians of the Galaxy ",682155,32438,"Djimon Hounsou",1097,"PG-13",1.7e+08,2014,14000,8.1,96000,"Action"
"Christopher Nolan",712,169,22000,6000,"Anne Hathaway",11000,187991439,"Matthew McConaughey","Interstellar ",928227,31488,"Mackenzie Foy",2725,"PG-13",1.65e+08,2014,11000,8.6,349000,"Drama_Action"
"Christopher Nolan",642,148,22000,23000,"Tom Hardy",29000,292568851,"Leonardo DiCaprio","Inception ",1468200,81115,"Joseph Gordon-Levitt",2803,"PG-13",1.6e+08,2010,27000,8.8,175000,"Thriller_Action"
"Peter Jackson",645,182,0,773,"Adam Brown",5000,303001229,"Aidan Turner","The Hobbit: An Unexpected Journey ",637246,9152,"James Nesbitt",1367,"PG-13",1.8e+08,2012,972,7.9,166000,"Action"
"Rob Cohen",187,106,357,4000,"Vin Diesel",23000,144512310,"Paul Walker","The Fast and the Furious ",272223,45327,"Jordana Brewster",988,"PG-13",3.8e+07,2001,14000,6.7,14000,"Thriller_Crime_Action"
"David Fincher",362,166,21000,919,"Jason Flemyng",11000,127490802,"Brad Pitt","The Curious Case of Benjamin Button ",459346,13333,"Julia Ormond",822,"PG-13",1.5e+08,2008,1000,7.8,23000,"Romance_Drama_Action"
"Matthew Vaughn",500,132,905,1000,"Michael Fassbender",34000,146405371,"Jennifer Lawrence","X-Men: First Class ",518537,50983,"Oliver Platt",698,"PG-13",1.6e+08,2011,13000,7.8,54000,"Action"
"Francis Lawrence",389,137,508,14000,"Philip Seymour Hoffman",34000,281666058,"Jennifer Lawrence","The Hunger Games: Mockingjay - Part 2 ",166137,81385,"Josh Hutcherson",383,"PG-13",1.6e+08,2015,22000,6.6,38000,"Action"
"Jon Turteltaub",235,109,226,370,"Omar Benson Miller",12000,63143812,"Nicolas Cage","The Sorcerer's Apprentice ",124185,13388,"Robert Capron",238,"PG",1.5e+08,2010,418,6.1,11000,"Action"
"Wolfgang Petersen",231,98,249,702,"Mike Vogel",87000,60655503,"Jimmy Bennett","Poseidon ",82380,92456,"Andre Braugher",629,"PG-13",1.6e+08,2006,2000,5.6,0,"Drama_Thriller_Action"
"James Bobin",218,113,33,11000,"Alan Rickman",40000,76846624,"Johnny Depp","Alice Through the Looking Glass ",21352,80806,"Anne Hathaway",131,"PG",1.7e+08,2016,25000,6.4,30000,"Action"
"Chris Miller",227,93,50,692,"Eric Idle",3000,320706665,"Justin Timberlake","Shrek the Third ",211971,4705,"Rupert Everett",326,"PG",1.6e+08,2007,795,6.1,0,"Comedy_Action"
"Duncan Jones",275,123,0,648,"Callum Rennie",3000,46978995,"Dominic Cooper","Warcraft ",111609,5505,"Ruth Negga",781,"PG-13",1.6e+08,2016,716,7.3,89000,"Action"
"Alan Taylor",474,126,230,2000,"Emilia Clarke",24000,89732035,"J.K. Simmons","Terminator Genisys ",188457,38873,"Matt Smith",867,"PG-13",1.55e+08,2015,10000,6.6,82000,"Action"
"Michael Apted",228,113,150,59,"Shane Rangi",531,104383624,"Bruce Spence","The Chronicles of Narnia: The Voyage of the Dawn Treader ",106446,764,"Laura Brent",227,"PG",1.55e+08,2010,82,6.3,11000,"Action"
"Michael Bay",396,144,0,581,"Michael O'Neill",662,318759914,"Zack Ward","Transformers ",513158,2333,"Kevin Dunn",1782,"PG-13",1.5e+08,2007,599,7.1,8000,"Action"
"Peter Berg",318,102,532,979,"Charlize Theron",10000,227946274,"Will Smith","Hancock ",343648,21584,"Eddie Marsan",590,"PG-13",1.5e+08,2008,9000,6.4,0,"Drama_Action"
"Francis Lawrence",323,104,508,558,"Alice Braga",10000,256386216,"Will Smith","I Am Legend ",530870,13076,"Willow Smith",1413,"PG-13",1.5e+08,2007,1000,7.2,11000,"Drama_Thriller_Action"
"Tim Burton",276,115,13000,588,"Christopher Lee",40000,206456431,"Johnny Depp","Charlie and the Chocolate Factory ",320284,57844,"David Kelly",1361,"PG",1.5e+08,2005,16000,6.7,0,"Comedy_Action"
"Brad Bird",318,111,663,954,"John Ratzenberger",1000,206435493,"Janeane Garofalo","Ratatouille ",473887,4764,"Brian Dennehy",626,"G",1.5e+08,2007,1000,8,10000,"Comedy_Action"
"Christopher Nolan",478,128,22000,11000,"Liam Neeson",23000,205343774,"Christian Bale","Batman Begins ",980946,59558,"Morgan Freeman",2685,"PG-13",1.5e+08,2005,14000,8.3,15000,"Action"
"Eric Darnell",167,89,35,436,"Jada Pinkett Smith",1000,179982968,"Bernie Mac","Madagascar: Escape 2 Africa ",146019,3285,"Cedric the Entertainer",119,"PG",1.5e+08,2008,851,6.7,0,"Comedy_Action"
"Shawn Levy",185,105,189,1000,"Rami Malek",49000,177243721,"Robin Williams","Night at the Museum: Battle of the Smithsonian ",130272,54039,"Steve Coogan",209,"PG",1.5e+08,2009,3000,5.9,2000,"Comedy_Action"
"Gavin Hood",350,119,151,2000,"Ryan Reynolds",20000,179883016,"Hugh Jackman","X-Men Origins: Wolverine ",361924,40054,"Dominic Monaghan",641,"PG-13",1.5e+08,2009,16000,6.7,0,"Thriller_Action"
"Chris Buck",406,102,69,490,"Maurice LaMarche",1000,400736600,"Josh Gad","Frozen ",421658,2582,"Livvy Stubenrauch",904,"PG",1.5e+08,2013,523,7.6,58000,"Comedy_Action"
"Lana Wachowski",275,138,0,30,"Daniel Bernhardt",234,281492479,"Steve Bastoni","The Matrix Reloaded ",421818,534,"Helmut Bakaitis",2789,"R",1.5e+08,2003,198,7.2,0,"Action"
"Alan Taylor",486,112,230,12000,"Natalie Portman",26000,206360018,"Chris Hemsworth","Thor: The Dark World ",414070,59803,"Anthony Hopkins",532,"PG-13",1.7e+08,2013,20000,7.1,63000,"Action"
"Ron Howard",298,146,2000,294,"Ayelet Zurer",15000,133375846,"Tom Hanks","Angels & Demons ",207839,16948,"Armin Mueller-Stahl",435,"PG-13",1.5e+08,2009,745,6.7,0,"Thriller_Crime"
"Kenneth Branagh",516,115,0,12000,"Natalie Portman",26000,181015141,"Chris Hemsworth","Thor ",536314,60059,"Anthony Hopkins",738,"PG-13",1.5e+08,2011,20000,7,63000,"Action"
"Byron Howard",225,96,59,699,"Diedrich Bader",17000,114053579,"Chloë Grace Moretz","Bolt ",146766,20007,"James Lipton",178,"PG",1.5e+08,2008,759,6.9,0,"Comedy_Drama_Action"
"Hoyt Yeatman",145,88,12,182,"Piper Mackenzie Harris",730,119420252,"Kelli Garner","G-Force ",33042,2217,"Niecy Nash",90,"PG",1.5e+08,2009,607,5.1,0,"Comedy_Action"
"Jonathan Liebesman",310,99,473,502,"Edgar Ramírez",14000,83640426,"Liam Neeson","Wrath of the Titans ",152826,16184,"Lily James",253,"PG-13",1.5e+08,2012,897,5.8,19000,"Action"
"Tim Burton",526,113,13000,16000,"Chloë Grace Moretz",40000,79711678,"Johnny Depp","Dark Shadows ",199039,80849,"Christopher Lee",479,"PG-13",1e+08,2012,17000,6.2,82000,"Comedy_Thriller_Action"
"Joe Johnston",357,119,394,162,"Simon Merrells",12000,61937495,"Anthony Hopkins","The Wolfman ",89442,13071,"Art Malik",432,"R",1.5e+08,2010,490,5.8,0,"Drama_Thriller_Action"
"David Yates",248,110,282,103,"Alexander Skarsgård",11000,124051759,"Christoph Waltz","The Legend of Tarzan ",42372,21175,"Casper Crump",239,"PG-13",1.8e+08,2016,10000,6.6,29000,"Romance_Drama_Action"
"Steve Hickner",194,91,58,826,"Oprah Winfrey",2000,126597121,"Matthew Broderick","Bee Movie ",105902,6576,"Rip Torn",206,"PG",1.5e+08,2007,852,6.2,0,"Comedy_Action"
"Jennifer Yuh Nelson",284,90,90,15,"Gary Oldman",11000,165230261,"Angelina Jolie Pitt","Kung Fu Panda 2 ",182718,21015,"Mike Bell",209,"PG",1.5e+08,2011,10000,7.3,20000,"Comedy_Action"
"M. Night Shyamalan",280,103,0,346,"Noah Ringer",1000,131564731,"Seychelle Gabriel","The Last Airbender ",118951,2857,"Aasif Mandvi",1382,"PG",1.5e+08,2010,756,4.2,18000,"Action"
"J.J. Abrams",310,124,14000,979,"Tom Cruise",22000,133382309,"Philip Seymour Hoffman","Mission: Impossible III ",256695,34817,"Eddie Marsan",871,"PG-13",1.5e+08,2006,10000,6.9,0,"Thriller_Action"
"Roland Emmerich",339,131,776,256,"Jake Weber",17000,73103784,"Channing Tatum","White House Down ",164238,18204,"Matt Craven",434,"PG-13",1.5e+08,2013,551,6.4,33000,"Drama_Thriller_Action"
"Simon Wells",132,88,25,433,"Dan Fogler",921,21379315,"Elisabeth Harnois","Mars Needs Moms ",17590,2652,"Tom Everett Scott",112,"PG",1.5e+08,2011,562,5.4,0,"Comedy_Action"
"Joe Wright",256,111,456,394,"Cara Delevingne",20000,34964818,"Hugh Jackman","Pan ",39956,21393,"Nonso Anozie",186,"PG",1.5e+08,2015,548,5.8,24000,"Action"
"Rob Minkoff",196,92,50,517,"Zach Callison",3000,111505642,"Ty Burrell","Mr. Peabody & Sherman ",47900,5810,"Karan Brar",130,"PG",1.45e+08,2014,1000,6.9,11000,"Comedy_Action"
"Wolfgang Petersen",220,196,249,844,"Orlando Bloom",11000,133228348,"Brad Pitt","Troy ",381672,17944,"Julian Glover",1694,"R",1.75e+08,2004,5000,7.2,0,"Action"
"Eric Darnell",211,93,35,436,"Martin Short",851,216366733,"Jada Pinkett Smith","Madagascar 3: Europe's Most Wanted ",119213,2444,"Cedric the Entertainer",154,"PG",1.45e+08,2012,770,6.9,17000,"Comedy_Action"
"Paul Feig",464,116,176,322,"Kate McKinnon",783,118099659,"Ed Begley Jr.","Ghostbusters ",69757,2097,"Zach Woods",1211,"PG-13",1.44e+08,2016,370,5.5,62000,"Comedy_Action"
"Michael Bay",167,153,0,537,"Steve Buscemi",13000,201573391,"Bruce Willis","Armageddon ",322395,26029,"Will Patton",1171,"PG-13",1.4e+08,1998,12000,6.6,11000,"Thriller_Action"
"Barry Sonnenfeld",208,88,188,826,"Rosario Dawson",10000,190418803,"Will Smith","Men in Black II ",270207,14823,"Rip Torn",606,"PG-13",1.4e+08,2002,3000,6.1,2000,"Comedy_Crime_Action"
"Robert Zemeckis",287,115,0,964,"Anthony Hopkins",18000,82161969,"Robin Wright","Beowulf ",142440,31523,"Sebastian Roché",505,"PG-13",1.5e+08,2007,12000,6.3,3000,"Action"
"Alessandro Carloni",210,95,5,967,"Angelina Jolie Pitt",24000,143523463,"J.K. Simmons","Kung Fu Panda 3 ",64322,36095,"Wayne Knight",145,"PG",1.45e+08,2016,11000,7.2,24000,"Comedy_Action"
"Brad Bird",432,133,663,690,"Jeremy Renner",10000,209364921,"Tom Cruise","Mission: Impossible - Ghost Protocol ",365104,21768,"Michael Nyqvist",512,"PG-13",1.45e+08,2011,10000,7.4,35000,"Thriller_Action"
